Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s,
V Kohli,2008-2025,267,259,40,8661,113*,39.54,6519,132.85,8,63,10,771,291,investigate this query
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
RG Sharma,2008-2025,272,267,30,7046,109*,29.72,5334,132.09,2,47,18,640,302,investigate this query
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
S Dhawan,2008-2024,222,221,29,6769,106*,35.25,5324,127.14,2,51,11,768,152,investigate this query
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Mumbai Indians, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DA Warner,2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236,investigate this query
"(Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SK Raina,2008-2021,205,200,30,5528,100*,32.51,4043,136.73,1,39,8,506,203,investigate this query
"(Chennai Super Kings, Gujarat Lions)",,,,,,,,,,,,,,,
MS Dhoni,2008-2025,278,242,100,5439,84*,38.3,3957,137.45,0,24,6,375,264,investigate this query
"(Chennai Super Kings, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
KL Rahul,2013-2025,145,136,23,5222,132*,46.21,3839,136.02,5,40,4,452,208,investigate this query
"(Delhi Capitals, Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AB de Villiers,2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,10,413,251,investigate this query
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AM Rahane,2008-2025,198,183,18,5032,105*,30.49,4025,125.01,2,33,13,514,123,investigate this query
"(Chennai Super Kings, Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
CH Gayle,2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
